施設ID,施設GID,施設FID
ChIJqQDKwwGaRDURsOO02IOeLxo,ChIJqQDKwwGaRDURsOO02IOeLxo,0x35449a01c3ca00a9:0x1a2f9e83d8b4e3b0
ChIJV24n8rOEImAR92jmPBtWFxw,ChIJV24n8rOEImAR92jmPBtWFxw,0x602284b3f2276e57:0x1c17561b3ce668f7
ChIJ1xkyS4PqGGARDMt8spWEsKo,ChIJ1xkyS4PqGGARDMt8spWEsKo,0x6018ea834b3219d7:0xaab08495b27ccb0c
ChIJOw8460DBGGAR9D2yoj6PLns,ChIJOw8460DBGGAR9D2yoj6PLns,0x6018c140eb380f3b:0x7b2e8f3ea2b23df4
ChIJi74ywDutajUR_jsfAywAh2Y,ChIJi74ywDutajUR_jsfAywAh2Y,0x356aad3bc032be8b:0x6687002c031f3bfe
ChIJzzZvZgDbGGARuuB7aW6OesM,ChIJzzZvZgDbGGARuuB7aW6OesM,0x6018db00666f36cf:0xc37a8e6e697be0ba
ChIJeYfnv0LBGGAR450jt0ZPWVo,ChIJeYfnv0LBGGAR450jt0ZPWVo,0x6018c142bfe78779:0x5a594f46b7239de3
ChIJJfdfPWfPGGARDETSgt70FUM,ChIJJfdfPWfPGGARDETSgt70FUM,0x6018cf673d5ff725:0x4315f4de82d2440c
ChIJxy_X-4KMGGAREqNP2gKehwk,ChIJxy_X-4KMGGAREqNP2gKehwk,0x60188c82fbd72fc7:0x9879e02da4fa312
ChIJT2EE0GIN3y4R0YByrdNxmjc,ChIJT2EE0GIN3y4R0YByrdNxmjc,0x2edf0d62d004614f:0x379a71d3ad7280d1
ChIJwWUv4Em_QzURBdO_ABB0x18,ChIJwWUv4Em_QzURBdO_ABB0x18,0x3543bf49e02f65c1:0x5fc7741000bfd305
ChIJo14ChY2RQTUR_cAy0rVxSZ4,ChIJo14ChY2RQTUR_cAy0rVxSZ4,0x3541918d85025ea3:0x9e4971b5d232c0fd
ChIJqYW_u4ORQTURgU7-owpxwkg,ChIJqYW_u4ORQTURgU7-owpxwkg,0x35419183bbbf85a9:0x48c2710aa3fe4e81
ChIJ1ZLC5HWNGGAR255Yj80UtNg,ChIJ1ZLC5HWNGGAR255Yj80UtNg,0x60188d75e4c292d5:0xd8b414cd8f589edb
