レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
721,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,とくがわ,2025-11-02T13:28:03.789Z,"紺野様をはじめ、スタッフの皆様には常に丁寧で温かいご対応をいただき、深く感謝しております。

皆様のあたたかなサポートのおかげで、気持ちを整えながら穏やかに見送ることができました。重ねてお礼申し上げます。

ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2toNFRYUnNlRlEwUzJ3MVJGVnhkMG8yVlc4MVpsRRAB
722,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,五十嵐里枝子,2025-10-24T13:20:31.812Z,"この度は大変お世話になりました。
父が急逝して、会員登録はしていないにもかかわらずスタッフの皆さんはとても親身にご対応してくださいました。
室内も大きな梁から懐かしさや温かさを感じられて、居心地のよい空間となっていました。
葬儀にあたり不安に思うことも丁寧に応えてくださり、安心して執り行うことができたと思います。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2xadVpWWmlUSGxZZUU1c1JWaERjbGRVUXpsNFVtYxAB
723,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,日下部洋子,2025-10-14T01:08:49.715Z,竹中さんが、素晴らしいくて、本当に、ありがたかったです。初めての葬儀なので、悲しみと不安だらけでしたが、つつがなく、夫を、見送れました。,,Ci9DQUlRQUNvZENodHljRjlvT21sb0xWbERRMWhHTFdneE5uRkhaekJpTjNWbkxVRRAB
724,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,タカ“ひるあんどん”,2025-10-03T10:12:33.188Z,"妻の葬儀では大変お世話になりました。
葬儀の事など何もわからない自分がふと目にした口コミでつむぎ菜根さんを知りました。
相談するとすぐに担当の竹中さんが来てくださり、わかり易く丁寧に説明してくださいました。
そして、とても段取り良く進めていただき、安心してお任せすることができました。また、いろいろなアイデアを出していただき、さらに式では思わぬサプライズまで。本当に故人と遺族に寄り添ってくれている事を感じられました。
竹中さん、つむぎ菜根の皆様、本当にありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2tGeE5GaHdaelo1VkVzMGFsOUJNM1p5TTBkb1VIYxAB
725,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,森岡つばさ,2025-09-27T08:23:45.378Z,"父の葬儀でお世話になりました。
葬儀について何もわからない私たちに丁寧に教えていただき本当に感謝しております。

病院からつむぎまでの移動の際に、自宅前を通っていただき父も喜んでいたかと思います。
お寺との都合が中々つかず遺体安置が長くなってしまいましたが、24時間自由に出入りでき父との最後の時間を家族でゆっくりと過ごせました。

中には入れないけどお見送りができるようにと、犬のオレオやあずきの写真も飾っていただいたり、肉球スタンプの色紙を棺に入れることを提案してくださりとても感謝しております。
また、先住犬が父をお迎えに来たときにおやつをあげれるようにと先住犬のおやつ•オレオやあずきのおやつもいただきました。
釣りが好きだった父の釣竿を飾ろうと思い持参したところ、竹中さんが釣竿に犬の魚のおもちゃをつけてくださり大漁にしてくれました。

お礼状も私たち家族と話した内容を覚えてくださっていて、とても素敵な物を用意していただきました。
父の好きだった音楽をかけていただいたり、好きだったアイスを準備していただいたり、遺影選びから何から何まで優しく丁寧に寄り添っていただき、正直ここまでしてくれるのかという思いで驚きと共に感動と感謝でいっぱいです。

竹中さん、つむぎ菜根の皆様、この度は本当にありがとうございました。
つむぎを選んでよかったです。",,Ci9DQUlRQUNvZENodHljRjlvT2xNMUxWSTROVm94UjJsTmFWWlFNWHBGY1VkYWQxRRAB
726,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,Sato,2025-09-14T12:07:37.198Z,"残される者に「準備」という時間的猶予を与えないほど、「別れ」というものは突然にやってくる。日々「当たり前」にあった日常が、いかに「有難い」ものであったかを痛感させられる。
果たして、故人に対してどこまで尽くすことができただろうか？
今回のお別れを通じ、さまざまな方からいただく「お悔やみ申し上げます」が、身近な者を亡くした人間に対しての、いかに悔やんでも悔やみきれない別れを優しく包み込む毛布のように感じられる。

つむぎ菜根でのお別れは、まさに、残された者を優しく包み込む毛布のように感じられた。
私たち遺族が事前に準備する暇もなく、母は逝ってしまった。桜が好きだった母。そのほかにも花が好きで、いろいろなところをめぐるのが好きだった母。故人の想いを実現しようと、紺野さんをはじめ、竹中さん、火葬場でのお接待担当の庄子さんなど、さまざまな方々にご尽力いただいた。

棺の色、骨箱の色、お供えするフラワーアレンジメントなど、細部に至るまで女性的な視点が加えられ、故人が少しでも喜んでくれるよう配慮されながらお別れの時間が考えられ、執り行われた。

式場でのお別れ自体や火葬場でのお接待など、人を介する場面での不満というのは、お世辞抜きにしても「これほどまでに出ないものか」と思うほどだった。

ひとつだけ改善してほしい点を挙げるとすれば、遺族側に身体が不自由な者がいたため、お別れをするお部屋に入るための段差やトイレの若干の手狭さはあったため、そこが改善していくといいなと感じた。ただ、その改善点を上回るほど、この式場での時間の満足度は高かったということだけは、胸を張って言える。

冒頭申し上げた通り、「別れ」というものは突然だ。言うまでもなく、事前に準備できるのであればそれに越したことはない。
できることなら生きているうちに、しっかりと葬儀についての話をされることを強くお勧めする。

残された者も、逝く者も、双方が納得して送り送られることが最善であるということは、言うまでもない事実なのだから。",,Ci9DQUlRQUNvZENodHljRjlvT25rNVJHNHpZa05tYzJOUVdUVllTVWhST0ZkNFlVRRAB
727,6014,ChIJjT96oiNtIGARSdjrEg-Z40k,5,落理,2025-09-10T07:12:01.268Z,"父の葬儀でお世話になりました。
何も分からず悲しみと不安でいっぱいの中、電話での相談から竹中さん、遠藤さん、スタッフのみなさんがとても親身になって対応してくださり最後まで安心してお任せすることが出来ました。
何から何まで、全てに心のこもった対応で本当につむぎ菜根さんで父との最後の時間を過ごせたことを家族一同、心から感謝しております。
父の好きなお肉や音楽を用意して頂き、父もとても喜んでいると思います。
父との最後の時間を思い出すと悲しい気持ちだけではなく、とても温かい気持ちにもなれるのは皆さんのおかげです。
本当にありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT25GUlYxbE5VMlJEV1d0NFoyUlBhbGhOTTNKcFNWRRAB
728,4251,ChIJtxXGpakKiV8RFWa-klH9aRY,5,星屑REVUE,2025-12-31T07:21:11.730Z,両親の葬儀の際にお世話になりました。色々と相談に乗っていただき、アドバイスを戴きました。大変感謝しています。,,Ci9DQUlRQUNvZENodHljRjlvT2w5dGRVNUVSSEpYU3pOVVEyWk9TVlZDZERocFIyYxAB
729,6871,ChIJA_ko7NzLQzURd6gLlW8h8_k,1,あおべぇ,2026-02-13T09:15:28.311Z,"とても親しいかたのお通夜に行きました。
外から丸見え。宣伝されているようで悲しかった。
金額がデカデカと書いてあり亡くなった人がバカにされているようです。",,Ci9DQUlRQUNvZENodHljRjlvT2w4eVZWVlVhVzFOUnpkb1MzSTBhV05vZWtKSVdtYxAB
730,6871,ChIJA_ko7NzLQzURd6gLlW8h8_k,5,たなかみほ,2025-11-20T05:26:47.723Z,"先日は父の葬儀で大変お世話になりました。
スタッフの皆さんとても親切で、本当に良くしていただきました。
また何かあれば相談させてください。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2toamQyMHhRbkJ1UW1wdFZsVldOM0ZUV21WcFUwRRAB
731,3191,ChIJFyj4-85bm18R4bm-f6F2pxs,5,m_mima_t (maki),2025-10-30T06:24:51.822Z,自宅から宿泊棟へ、4泊の日程で利用させていただきました。担当者さんが丁寧で親切で、こちらの不安を打ち消しながら進めて下さり、大切な家族の儀式を、和やかに済ませることが出来ました。こちらのこの方に担当してもらい本当に良かったです。この後も、節目にお世話になるかと思います。まずは、ありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT21SalozUmtWMDlCY1dSaVlXMTZVVEp5YjI1WFlXYxAB
732,5334,ChIJ48lgKRmfjl8RaPTm3nPgPoI,4,泉谷智之,2026-01-27T06:08:14.884Z,とても親切に対応していただき、無事に父を見送る事が出来ました。また父の好物のビールを少し父の唇ににじませてくれるなど、とても寄り添っていただきましてありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT201M1F6VjZTRVV3TVU0NWFFTmtUM3BGTVhZeFQwRRAB
