施設ID,施設GID,施設FID
51985,ChIJwVtAb2ViA2ARpKZXhRhoLZ4,0x600362656f405bc1:0x9e2d68188557a6a4
51986,ChIJmeSO-vViA2ARX4nRgRYrkrU,0x600362f5fa8ee499:0xb5922b1681d1895f
51968,ChIJS8s2wDR9A2ARt57EFBpiS7A,0x60037d34c036cb4b:0xb04b621a14c49eb7
51987,ChIJKzaMXfFiA2ARIir_vXx9RPA,0x600362f15d8c362b:0xf0447d7cbdff2a22
51989,ChIJy0gSEftiA2ARHnXgvt1EKog,0x600362fb111248cb:0x882a44ddbee0751e
51981,ChIJU8hhXSNjA2ARIKPW2-fWcX4,0x600363235d61c853:0x7e71d6e7dbd6a320
51991,ChIJBTNk-e9iA2ARryUH6tUCDmw,0x600362eff9643305:0x6c0e02d5ea0725af
51977,ChIJFbfrre9iA2ARa6533TAIU-M,0x600362efadebb715:0xe3530830dd77ae6b
51980,ChIJTyeXxZxiA2ARIlKz1NS8i9E,0x6003629cc597274f:0xd18bbcd4d4b35222
51973,ChIJKx1FBIxiA2AR3IXp2IVzrIw,0x6003628c04451d2b:0x8cac7385d8e985dc
82113,ChIJ4fRQIuBiA2ARW7PM2cVdlQ8,0x600362e02250f4e1:0xf955dc5d9ccb35b
51984,ChIJLzP13cBiA2ARjrru4Q0mwZ4,0x600362c0ddf5332f:0x9ec1260de1eeba8e
51992,ChIJFVsjDeljA2ARpmJAO0SheJg,0x600363e90d235b15:0x9878a1443b4062a6
51979,ChIJ2WQe4INiA2ARp_4HDd30Ruk,0x60036283e01e64d9:0xe946f4dd0d07fea7
82114,ChIJM0NxDzpjA2AR-Z8AG1qCq18,0x6003633a0f714333:0x5fab825a1b009ff9
50016,ChIJuSyl1yBlA2ARP0W_Enu9NVk,0x60036520d7a52cb9:0x5935bd7b12bf453f
50020,ChIJkb0jkABlA2ARF-kC56K9sAs,0x600365009023bd91:0xbb0bda2e702e917
50026,ChIJR9SgHQxvA2ARaQZ0-yhDO3Q,0x60036f0c1da0d447:0x743b4328fb740669
50018,ChIJaYthUQBlA2ARiupADun3YRg,0x6003650051618b69:0x1861f7e90e40ea8a
49968,ChIJm0zJUBRlA2ARJa9v0EvBT6k,0x6003651450c94c9b:0xa94fc14bd06faf25
50017,ChIJCVl-mRBlA2ARqGZwtyBuZM4,0x60036510997e5909:0xce646e20b77066a8
50063,ChIJm0AIjRplA2ARWXFXYrLq41Q,0x6003651a8d08409b:0x54e3eab262577159
50003,ChIJLdbG4A1lA2ARbeKZAcqG0LI,0x6003650de0c6d62d:0xb2d086ca0199e26d
49988,ChIJRf0tQGdlA2ARQ9udXDzQts8,0x60036567402dfd45:0xcfb6d03c5c9ddb43
50007,ChIJUU31dCllA2ARY7PSoP0r7SE,0x6003652974f54d51:0x21ed2bfda0d2b363
49983,ChIJvWkHIFVlA2AR87aWzPu2904,0x60036555200769bd:0x4ef7b6fbcc96b6f3
49997,ChIJuYyIVzxlA2ARb1MI7YJ0XQA,0x6003653c57888cb9:0x5d7482ed08536f
49964,ChIJx40ZxfNvA2ARJ10foOGhjDA,0x60036ff3c5198dc7:0x308ca1e1a01f5d27
50046,ChIJXxW8UQdlA2ARsFmEtH1gN8k,0x6003650751bc155f:0xc937607db48459b0
50023,ChIJOUjbYudvA2AR1GPtKrQzVHk,0x60036fe762db4839:0x795433b42aed63d4
49990,ChIJr71OG5NvA2ARRHjH9pPD14I,0x60036f931b4ebdaf:0x82d7c393f6c77844
49965,ChIJc43doOplA2AR_m_FooSl8Fs,0x600365eaa0dd8d73:0x5bf0a584a2c56ffe
49232,ChIJdSxEC_FvA2ARNq37dcmsjec,0x60036ff10b442c75:0xe78dacc975fbad36
50040,ChIJI4fb-CNlA2ARlxtsfSQBkx4,0x60036523f8db8723:0x1e9301247d6c1b97
49979,ChIJm1a612tlA2AR1QEG9Od_p_4,0x6003656bd7ba569b:0xfea77fe7f40601d5
48957,ChIJv_agPSeeA2ARdWLfXVnTslM,0x60039e273da0f6bf:0x53b2d3595ddf6275
48969,ChIJ_20cACmfA2ARFdhxAwUh78k,0x60039f29001c6dff:0xc9ef21050371d815
48963,ChIJ_cnTssefA2ARxbW-m2iBiWA,0x60039fc7b2d3c9fd:0x608981689bbeb5c5
80515,ChIJsxSPCM-fA2ARnZPjLihwaVE,0x60039fcf088f14b3:0x516970282ee3939d
48971,ChIJT0nY_OZ1A2AR5wgr2kLDdEc,0x600375e6fcd8494f:0x4774c342da2b08e7
48950,ChIJKahVxEmeA2ARWx9ajy_OvJk,0x60039e49c455a829:0x99bcce2f8f5a1f5b
48951,ChIJ_YWJCEieA2AR5jrEhS9VL7E,0x60039e48088985fd:0xb12f552f85c43ae6
48954,ChIJaw-CX3OeA2ARrUPmc1s4grY,0x60039e735f820f6b:0xb682385b73e643ad
48956,ChIJd75_m9WdA2ARuEwWNj5I-Rs,0x60039dd59b7fbe77:0x1bf9483e36164cb8
48958,ChIJEwRzzv-dA2ARqGy-zT-16nE,0x60039dffce730413:0x71eab53fcdbe6ca8
48960,ChIJx7Js8qCfA2ARQgAjYLyxwp0,0x60039fa0f26cb2c7:0x9dc2b1bc60230042
48961,ChIJdUFtvo-fA2ARucrGXzXkBjE,0x60039f8fbe6d4175:0x3106e4355fc6cab9
48966,ChIJkyUIkFqeA2AR1h_DbmsRCtw,0x60039e5a90082593:0xdc0a116b6ec31fd6
48970,ChIJodXP8_B1A2ARG0LAoraMLyQ,0x600375f0f3cfd5a1:0x242f8cb6a2c0421b
48959,ChIJec_NbB2eA2ARl8CuXmNpwh4,0x60039e1d6ccdcf79:0x1ec269635eaec097
48955,ChIJfZdErtCdA2ARmMcPva54GnU,0x60039dd0ae44977d:0x751a78aebd0fc798
48968,ChIJLW7YxjqeA2ARHGOshKugOi4,0x60039e3ac6d86e2d:0x2e3aa0ab84ac631c
48962,ChIJ2TCpSbCfA2ARpbzOZL020G0,0x60039fb049a930d9:0x6dd036bd64cebca5
82115,ChIJSaZ0nvieA2ARVUXC30bDoXQ,0x60039ef89e74a649:0x74a1c346dfc24555
48953,ChIJ__9zM2SeA2ARMOWgRAzBBf4,0x60039e643373ffff:0xfe05c10c44a0e530
51944,ChIJuedVWW_MBGARfHDPEJQ1WAg,0x6004cc6f5955e7b9:0x858359410cf707c
51954,ChIJr4H2pmjMBGARvw7Qg_FcPjc,0x6004cc68a6f681af:0x373e5cf183d00ebf
51942,ChIJLU6c0AfMBGARsMnAkpTog-M,0x6004cc07d09c4e2d:0xe383e89492c0c9b0
51895,ChIJaVQU0fPMBGARQkrPZ_yN_4I,0x6004ccf3d1145469:0x82ff8dfc67cf4a42
51943,ChIJn4CSeRLMBGARu7XZCj2sdys,0x6004cc127992809f:0x2b77ac3d0ad9b5bb
51933,ChIJ9YIb4ojMBGAR6CHXcTKaQTI,0x6004cc88e21b82f5:0x32419a3271d721e8
51917,ChIJYy7alDvMBGARuhEC8waBe9I,0x6004cc3b94da2e63:0xd27b8106f30211ba
51890,ChIJe8_VGoTMBGARYtcZkPPoBRM,0x6004cc841ad5cf7b:0x1305e8f39019d762
51911,ChIJNfF8E5jNBGAR7qeSwQs8CAk,0x6004cd98137cf135:0x9083c0bc192a7ee
51960,ChIJiZnMbQzMBGARgXfHoZgsDAk,0x6004cc0c6dcc9989:0x90c2c98a1c77781
51958,ChIJ5Rp03xTMBGARZpPqXugoyuA,0x6004cc14df741ae5:0xe0ca28e85eea9366
51892,ChIJi6jzIKDMBGAR53cAzFWw4rU,0x6004cca020f3a88b:0xb5e2b055cc0077e7
51961,ChIJM92O41rJBGARsYL7SiWNlk8,0x6004c95ae38edd33:0x4f968d254afb82b1
51953,ChIJJyEXdETMBGAR4dZ4u_k57d0,0x6004cc4474172127:0xdded39f9bb78d6e1
51894,ChIJ2c0YKY_MBGARSabIQ8ppl4Q,0x6004cc8f2918cdd9:0x849769ca43c8a649
51922,ChIJOcOLykDMBGARHk8r3UL_K64,0x6004cc40ca8bc339:0xae2bff42dd2b4f1e
51952,ChIJVdr_f0PMBGARTsgwKZn2aFw,0x6004cc437fffda55:0x5c68f6992930c84e
51931,ChIJSRQkoUDMBGARQ-ZSLZetq4Y,0x6004cc40a1241449:0x86abad972d52e643
51935,ChIJtYVYLk3JBGARmkxN8oqYJ2E,0x6004c94d2e5885b5:0x6127988af24d4c9a
82116,ChIJy3cIRxbMBGARXZ6YfgkHtfA,0x6004cc16470877cb:0xf0b507097e989e5d
49947,ChIJxbVtcpJ5A2ARX1X1WdFlKyE,0x60037992726db5c5:0x212b65d159f5555f
50389,ChIJeabEyup5A2ARkUPz_v2XxsM,0x600379eacac4a679:0xc3c697fdfef34391
50369,ChIJUeejjL15A2ARf3TUborTgMM,0x600379bd8ca3e751:0xc380d38a6ed4747f
49945,ChIJ7w7ChJd5A2ARkBSeX2Jhmzk,0x6003799784c20eef:0x399b61625f9e1490
49948,ChIJB94S7Vp5A2AR-tvbAku354U,0x6003795aed12de07:0x85e7b74b02dbdbfa
49950,ChIJs518bI15A2ARsO3nZK3Wis0,0x6003798d6c7c9db3:0xcd8ad6ad64e7edb0
82117,ChIJw0l_GtoLA2ARjnl_pafD9j4,0x60030bda1a7f49c3:0x3ef6c3a7a57f798e
51493,ChIJgfaPXLMLA2AR8QaA8X12an4,0x60030bb35c8ff681:0x7e6a767df18006f1
51458,ChIJ-XEyGdoLA2AR1xzVgDbr158,0x60030bda193271f9:0x9fd7eb3680d51cd7
51459,ChIJHYheRsILA2ARXAagKR7EzFY,0x60030bc2465e881d:0x56ccc41e29a0065c
28885,ChIJW3f8IZ8JA2ARw7W9suLrrX0,0x6003099f21fc775b:0x7dadebe2b2bdb5c3
51470,ChIJfSSTle8LA2ARm1IL0UVlxd8,0x60030bef9593247d:0xdfc56545d10b529b
51466,ChIJ660AW3kJA2ARYPaw4n1W6xs,0x600309795b00adeb:0x1beb567de2b0f660
51476,ChIJ92BsNEALA2ARSHY4XQDstEo,0x60030b40346c60f7:0x4ab4ec005d387648
51462,ChIJpcCfeNgLA2ARXDZyAa7OLl8,0x60030bd8789fc0a5:0x5f2eceae0172365c
51488,ChIJsdpy6Q0JA2AR8vr1FXc13Io,0x6003090de972dab1:0x8adc357715f5faf2
51486,ChIJB2xPRQAJA2AR7gdziP9iWw4,0x60030900454f6c07:0xe5b62ff887307ee
51474,ChIJO4V8Ys4LA2ARjRdKKvQWt2g,0x60030bce627c853b:0x68b716f42a4a178d
51473,ChIJe0vj9bULA2ARDL5QuCrS9wA,0x60030bb5f5e34b7b:0xf7d22ab850be0c
49698,ChIJEYFAdat2A2AR5Sux9m3F_WM,0x600376ab75408111:0x63fdc56df6b12be5
49697,ChIJj9pRGUhxA2ARflgXG_HeuRY,0x600371481951da8f:0x16b9def11b17587e
49670,ChIJPbHBrz9xA2ARO1MxsV8KfGo,0x6003713fafc1b13d:0x6a7c0a5fb131533b
49662,ChIJP78spldxA2ARA41ws1thS6A,0x60037157a62cbf3f:0xa04b615bb3708d03
49680,ChIJLeaAHq12A2ARO0hl_j7eLIE,0x600376ad1e80e62d:0x812cde3efe65483b
49687,ChIJOSoaW0dxA2ARoVIR4FXoOHk,0x600371475b1a2a39:0x7938e855e01152a1
