施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
201827,パンジークラブ,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E3%83%91%E3%83%B3%E3%82%B8%E3%83%BC%E3%82%AF%E3%83%A9%E3%83%96/@39.3851131,141.2268789,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8f5fabd9993adb:0x53880b7c1e915339!8m2!3d39.3851131!4d141.2268789!16s%2Fg%2F1hc0x8mjp?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ2zqZ2atfj18ROVORHnwLiFM,
203104,岩手県仲人協会,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E5%B2%A9%E6%89%8B%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@39.7012718,141.1474972,17z/data=!3m1!4b1!4m6!3m5!1s0x5f85762581774207:0x64e28a97c7e0fcbf!8m2!3d39.7012718!4d141.1474972!16s%2Fg%2F1v1vc_h6?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJB0J3gSV2hV8Rv_zgx5eK4mQ,
202555,フォーエバーアオバ企画,,,,,,,"https://www.google.com/maps/place/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%83%95%E3%82%A9%E3%83%BC%E3%82%A8%E3%83%90%E3%83%BC%E3%82%A2%E3%82%AA%E3%83%90%E4%BC%81%E7%94%BB/@37.7552441,140.4603647,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8a85cbb720931d:0xa7016b984f5dd6fe!8m2!3d37.7552441!4d140.4603647!16s%2Fg%2F1tf6gg7p?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJHZMgt8uFil8R_tZdT5hrAac,
202962,アエルふくしま,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E3%82%A2%E3%82%A8%E3%83%AB%E3%81%B5%E3%81%8F%E3%81%97%E3%81%BE/@37.7544483,140.4649906,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8a88c7084116b1:0xbc6136236ea535f9!8m2!3d37.7544483!4d140.4649906!16s%2Fg%2F11b6gk9pqt?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJsRZBCMeIil8R-TWlbiM2Ybw,
203193,宮城県仲人協会,,,,,,,"https://www.google.com/maps/place/%E5%AE%AE%E5%9F%8E%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@38.260877,140.876586,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8a2822d448aa79:0x96dc45c039a386b0!8m2!3d38.260877!4d140.876586!16s%2Fg%2F1thw6k2z?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJeapI1CIoil8RsIajOcBF3JY,
201965,マリッジ,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8/@38.262599,140.881325,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8a282281aea99f:0x7269136f8fe38e52!8m2!3d38.262599!4d140.881325!16s%2Fg%2F1hm57kdj6?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJn6mugSIoil8RUo7jj28TaXI,
201966,マリッジメディア,,,,,,,"https://www.google.com/maps/place/%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2/@38.270518,140.869956,17z/data=!3m1!4b1!4m6!3m5!1s0x5f8a282befe6f2d1:0x8cfbf75a5a8b5f6f!8m2!3d38.270518!4d140.869956!16s%2Fg%2F11crzwzlcp?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ0fLm7ysoil8Rb1-LWlr3-4w,
202333,ハッピーブライダル長野,,,,,,,"https://www.google.com/maps/place/%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%E3%83%96%E3%83%A9%E3%82%A4%E3%83%80%E3%83%AB%E3%83%BB%E9%95%B7%E9%87%8E/@36.2366311,137.9740135,17z/data=!3m1!4b1!4m6!3m5!1s0x601d0e9109198be7:0xe3e1495f3fdcd8c8!8m2!3d36.2366311!4d137.9740135!16s%2Fg%2F11c58qy5g4?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ54sZCZEOHWARyNjcP19J4eM,
202483,フレーシュマリッジサポート伊那店,,,,,,,"https://www.google.com/maps/place/%E3%83%95%E3%83%AC%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E4%BC%8A%E9%82%A3%E5%BA%97/@36.2108351,137.9816158,17z/data=!3m1!4b1!4m6!3m5!1s0x601d0f220629d937:0x4a260cd72df34382!8m2!3d36.2108351!4d137.9816158!16s%2Fg%2F11g1lx4wnz?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJN9kpBiIPHWARgkPzLdcMJko,
202600,ながの結婚支援センター,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E3%81%AA%E3%81%8C%E3%81%AE%E7%B5%90%E5%A9%9A%E6%94%AF%E6%8F%B4%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/@36.4059869,138.2720511,17z/data=!3m1!4b1!4m6!3m5!1s0x601dbd46dd86fcf5:0x640f825b16293fc2!8m2!3d36.4059869!4d138.2720511!16s%2Fg%2F11g2z69mxk?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ9fyG3Ua9HWARwj8pFluCD2Q,
